,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF
43566,L,300.3,309.7,1715,31.1,179,0,0,0,0,0
43567,L,299.7,309.1,1429,45.4,147,0,0,0,0,0
43568,H,300.6,310.6,1624,32.2,76,0,0,0,0,0
43569,M,297.8,308.8,1441,50.7,105,0,0,0,0,0
43570,L,301.0,312.1,1585,32.3,59,0,0,0,0,0
43571,L,298.8,308.4,1394,44.1,20,0,0,0,0,0
43572,L,297.4,308.5,1356,57.4,76,0,0,0,0,0
43573,L,300.7,310.7,1357,52.6,0,0,0,0,0,0
43574,L,304.0,313.0,1450,15.0,59,0,0,0,0,0
43575,L,300.0,311.2,1729,29.2,58,0,0,0,0,0
43576,L,297.5,308.5,1585,40.2,74,0,0,0,0,0
43577,L,297.8,309.0,1664,28.9,54,0,0,0,0,0
43578,L,297.9,307.6,1662,29.1,176,0,0,0,0,0
43579,L,303.8,313.1,1869,25.8,109,0,0,0,0,0
43580,L,297.6,308.6,1501,39.8,116,0,0,0,0,0
43581,L,300.7,310.5,1678,30.7,201,0,0,0,0,0
43582,L,300.3,311.8,1553,38.5,182,0,0,0,0,0
43583,L,297.5,308.4,1422,44.5,203,0,0,0,0,0
43584,L,301.6,310.4,1380,35.3,156,0,0,0,0,0
43585,L,299.5,309.3,1451,22.5,18,0,0,0,0,0
43586,M,302.6,311.4,1732,26.1,189,0,0,0,0,0
43587,L,299.7,309.2,1417,51.6,91,0,0,0,0,0
43588,L,300.1,309.6,1367,50.6,100,0,0,0,0,0
43589,L,297.8,309.9,1958,19.4,42,0,0,0,0,0
43590,H,302.3,311.7,1433,42.8,43,0,0,0,0,0
43591,L,300.6,310.5,1366,61.8,98,0,0,0,0,0
43592,M,303.4,311.8,1452,39.2,2,0,0,0,0,0
43593,L,301.8,310.2,2207,16.8,215,0,0,0,0,0
43594,L,302.0,310.8,1648,34.4,7,0,0,0,0,0
43595,L,300.7,309.8,1305,51.5,202,0,0,0,0,0
43596,L,300.2,311.5,1362,53.0,167,0,0,0,0,0
43597,L,301.4,310.2,1400,44.3,25,0,0,0,0,0
43598,L,301.6,310.5,1567,34.3,153,0,0,0,0,0
43599,L,302.0,311.0,1865,37.6,75,0,0,0,0,0
43600,L,298.2,308.0,1528,38.0,166,0,0,0,0,0
43601,M,298.5,309.6,1509,47.3,7,0,0,0,0,0
43602,L,301.8,310.6,1548,38.7,44,0,0,0,0,0
43603,L,300.8,309.8,1462,44.6,151,0,0,0,0,0
43604,H,297.1,308.5,1530,40.0,65,0,0,0,0,0
43605,L,301.3,311.1,1470,40.0,146,0,0,0,0,0
43606,L,297.4,308.3,1336,34.6,61,0,0,0,0,0
43607,L,300.5,311.7,1548,34.6,23,0,0,0,0,0
43608,M,300.3,309.4,1393,49.7,176,0,0,0,0,0
43609,L,302.3,311.5,1391,49.5,39,0,0,0,0,0
43610,L,298.2,307.8,1388,46.1,146,0,0,0,0,0
43611,L,300.7,309.6,1356,53.9,37,0,0,0,0,0
43612,L,297.4,308.2,1402,37.3,41,0,0,0,0,0
43613,L,301.3,310.8,1444,38.9,38,0,0,0,0,0
43614,L,300.6,310.4,1666,33.7,133,0,0,0,0,0
43615,L,300.0,310.1,1548,36.9,156,0,0,0,0,0
43616,H,300.9,311.9,1513,38.0,96,0,0,0,0,0
43617,M,302.6,310.2,1255,69.0,97,0,1,1,0,0
43618,L,298.9,310.0,1791,27.6,19,0,0,0,0,0
43619,M,300.7,309.7,1523,40.9,73,0,0,0,0,0
43620,L,300.3,311.4,1418,42.3,28,0,0,0,0,0
43621,L,300.7,310.4,1674,29.6,209,0,0,0,0,0
43622,L,298.8,309.9,1634,33.6,70,0,0,0,0,0
43623,H,297.4,308.5,1456,46.2,124,0,0,0,0,0
43624,L,302.0,310.5,1586,35.2,186,0,0,0,0,0
43625,M,301.6,310.6,1457,47.8,7,0,0,0,0,0
43626,L,296.9,308.0,1781,24.8,112,0,0,0,0,0
43627,L,298.8,309.7,1550,34.8,136,0,0,0,0,0
43628,M,301.4,310.6,1487,39.5,92,0,0,0,0,0
43629,M,301.2,312.3,1548,35.4,87,0,0,0,0,0
43630,L,298.7,308.4,1750,31.8,72,0,0,0,0,0
43631,L,300.5,311.8,1389,44.0,132,0,0,0,0,0
43632,L,298.7,309.8,1461,40.4,32,0,0,0,0,0
43633,M,303.0,312.4,1559,36.1,142,0,0,0,0,0
43634,L,297.3,308.1,1566,34.0,150,0,0,0,0,0
43635,H,299.4,308.5,1260,60.9,166,0,0,0,0,0
43636,L,300.3,311.5,1487,43.2,25,0,0,0,0,0
43637,L,298.7,309.5,1496,43.2,160,0,0,0,0,0
43638,L,301.7,311.0,1600,41.0,148,0,0,0,0,0
43639,L,302.2,310.5,1386,50.0,132,0,0,0,0,0
43640,L,303.1,311.4,1495,36.0,159,0,0,0,0,0
43641,M,301.5,310.6,2093,17.7,50,0,0,0,0,0
43642,L,300.5,311.9,1430,50.5,203,0,0,0,0,0
43643,L,302.0,311.0,1381,57.3,25,0,0,0,0,0
43644,M,300.6,309.4,1465,40.2,97,0,0,0,0,0
43645,L,303.1,312.5,1727,31.1,127,0,0,0,0,0
43646,L,297.6,308.6,1523,40.9,136,0,0,0,0,0
43647,L,301.2,312.4,1373,51.2,77,0,0,0,0,0
43648,L,302.0,310.6,1530,39.0,84,0,0,0,0,0
43649,L,297.8,309.0,1456,35.5,0,0,0,0,0,0
43650,L,298.6,309.6,1622,36.9,0,0,0,0,0,0
43651,M,301.5,310.8,1433,48.3,143,0,0,0,0,0
43652,L,297.3,307.9,1732,26.7,114,0,0,0,0,0
43653,L,302.2,311.0,1543,33.1,0,0,0,0,0,0
43654,L,300.1,311.5,1499,43.4,59,0,0,0,0,0
43655,M,301.9,310.8,1367,45.1,20,0,0,0,0,0
43656,L,302.0,310.9,1564,39.2,17,0,0,0,0,0
43657,H,300.7,310.2,1451,43.1,205,0,0,0,0,0
43658,L,301.7,310.6,1451,40.0,114,0,0,0,0,0
43659,L,302.2,310.9,1531,35.6,60,0,0,0,0,0
43660,L,302.8,312.2,1653,26.7,135,0,0,0,0,0
43661,M,300.2,310.1,1515,40.1,45,0,0,0,0,0
43662,L,301.7,309.5,1443,43.8,227,0,0,0,0,0
43663,L,299.1,308.4,1605,35.4,181,0,0,0,0,0
43664,L,301.0,311.3,1452,46.9,48,0,0,0,0,0
43665,L,300.1,309.3,1744,31.8,189,0,0,0,0,0
43666,H,297.9,307.5,1631,31.3,124,0,0,0,0,0
43667,M,302.1,311.0,1337,62.5,83,0,0,0,0,0
43668,L,297.6,308.6,1576,32.2,83,0,0,0,0,0
43669,L,299.8,309.5,1452,47.3,51,0,0,0,0,0
43670,L,298.9,309.1,1452,46.7,0,0,0,0,0,0
43671,M,302.0,310.6,1369,50.5,70,0,1,0,0,0
43672,L,297.5,308.6,1744,39.0,127,0,0,0,0,0
43673,L,298.5,309.4,1551,34.1,114,0,0,0,0,0
43674,L,299.4,310.8,1679,28.7,72,0,0,0,0,0
43675,L,300.6,309.6,1480,43.7,153,0,0,0,0,0
43676,M,298.1,309.1,1438,52.5,5,0,0,0,0,0
43677,L,300.7,311.2,2377,14.5,61,0,0,0,0,0
43678,L,298.0,307.7,1466,43.0,11,0,0,0,0,0
43679,L,302.1,311.6,1550,37.1,37,0,0,0,0,0
43680,L,300.3,311.0,1567,35.2,44,0,0,0,0,0
43681,L,297.5,308.5,1569,40.6,72,0,0,0,0,0
43682,L,296.9,308.0,1452,46.7,15,0,0,0,0,0
43683,H,300.6,311.8,1662,28.8,162,0,0,0,0,0
43684,M,301.3,310.6,2092,18.9,108,0,0,0,0,0
43685,L,301.7,311.2,1482,41.8,154,0,0,0,0,0
43686,L,297.4,308.6,1483,47.3,135,0,0,0,0,0
43687,M,299.7,310.8,1427,46.6,185,0,0,0,0,0
43688,M,298.0,307.7,1570,33.0,116,0,0,0,0,0
43689,M,299.8,309.4,1401,48.4,93,0,0,0,0,0
43690,M,297.8,309.8,1615,29.0,178,0,0,0,0,0
43691,L,297.2,308.1,1567,44.3,152,0,0,0,0,0
43692,L,299.1,308.7,1437,38.3,183,0,0,0,0,0
43693,L,300.5,309.7,1754,26.9,155,0,0,0,0,0
43694,L,299.6,309.1,1784,28.1,221,0,0,0,0,0
43695,L,303.8,313.0,1540,42.3,38,0,0,0,0,0
43696,L,301.3,310.9,1469,44.7,164,0,0,0,0,0
43697,M,300.3,310.4,1293,49.7,5,0,0,0,0,0
43698,L,303.4,312.8,1614,30.9,94,0,0,0,0,0
43699,M,298.2,308.3,1522,40.3,22,0,0,0,0,0
43700,L,298.8,309.0,1478,40.7,152,0,0,0,0,0
43701,L,301.3,310.8,1671,31.8,59,0,0,0,0,0
43702,L,300.6,309.5,1445,38.8,124,0,0,0,0,0
43703,M,295.6,306.1,1609,46.2,24,0,0,0,0,0
43704,M,298.6,310.1,1280,65.3,7,0,0,1,0,0
43705,L,301.3,311.0,1639,31.4,82,0,0,0,0,0
43706,L,297.5,308.6,1524,38.9,164,0,0,0,0,0
43707,L,295.7,306.2,1282,69.0,101,0,0,1,0,0
43708,L,301.4,311.1,1952,22.7,153,0,0,0,0,0
43709,M,301.0,312.0,1367,50.8,168,0,0,0,0,0
43710,L,302.3,311.7,1584,32.3,200,0,0,0,0,0
43711,H,300.6,310.7,1727,30.0,64,0,0,0,0,0
43712,L,300.6,309.6,1474,40.7,87,0,0,0,0,0
43713,L,300.2,309.4,1403,50.0,53,0,0,0,0,0
43714,M,299.9,311.3,1530,30.3,33,0,0,0,0,0
43715,L,300.0,309.3,1972,22.0,0,0,0,0,0,0
43716,M,296.9,308.1,1674,29.4,124,0,0,0,0,0
43717,L,299.3,308.8,1405,46.6,15,0,0,0,0,0
43718,L,297.3,307.9,1412,30.2,80,0,0,0,0,0
43719,L,297.0,308.3,1499,35.7,137,0,0,0,0,0
43720,L,301.6,310.6,1418,43.9,124,0,0,0,0,0
43721,M,300.4,309.6,1592,36.0,162,0,0,0,0,0
43722,L,301.8,311.0,1634,31.8,3,0,0,0,0,0
43723,L,300.4,310.2,1528,38.5,45,0,0,0,0,0
43724,L,301.3,311.0,1484,33.1,86,0,0,0,0,0
43725,M,301.2,310.3,1557,35.1,49,0,0,0,0,0
43726,H,302.5,311.4,1452,48.6,25,0,0,0,0,0
43727,M,298.7,309.8,1491,40.4,93,0,0,0,0,0
43728,H,300.4,311.7,1509,33.0,200,0,0,0,0,0
43729,L,301.4,310.7,1365,49.0,45,0,0,0,0,0
43730,H,298.0,307.6,1402,44.1,104,0,0,0,0,0
43731,L,302.6,311.9,1483,30.9,2,0,0,0,0,0
43732,L,302.5,311.3,1792,26.0,51,0,0,0,0,0
43733,L,297.5,308.5,1504,36.4,130,0,0,0,0,0
43734,L,301.6,310.7,1683,29.8,131,0,0,0,0,0
43735,M,300.8,312.1,1664,28.4,168,0,0,0,0,0
43736,H,300.3,311.6,1339,47.6,123,0,0,0,0,0
43737,L,300.7,312.0,1403,51.1,0,0,0,0,0,0
43738,M,298.6,309.8,1616,35.0,161,0,0,0,0,0
43739,L,300.2,310.4,1493,38.5,192,0,0,0,0,0
43740,L,302.0,310.5,1591,31.9,153,0,0,0,0,0
43741,L,302.4,310.8,1568,33.7,155,0,0,0,0,0
43742,L,297.9,307.8,1490,46.9,73,0,0,0,0,0
43743,M,302.9,312.6,1446,44.5,49,0,0,0,0,0
43744,L,301.3,310.4,1566,31.4,88,0,0,0,0,0
43745,L,297.5,308.7,1450,45.9,0,0,0,0,0,0
43746,M,299.7,309.0,1391,59.0,155,0,0,0,0,0
43747,L,300.2,310.1,1534,33.7,30,0,0,0,0,0
43748,L,301.3,311.1,1593,32.8,139,0,0,0,0,0
43749,M,301.3,311.2,1438,42.4,101,0,0,0,0,0
43750,L,299.6,309.1,1869,22.5,85,0,0,0,0,0
43751,L,296.8,307.9,1649,32.8,200,0,0,0,0,0
43752,M,303.7,312.4,1847,22.6,2,0,0,0,0,0
43753,L,298.4,309.0,1544,41.6,121,0,0,0,0,0
43754,L,298.2,309.0,1543,31.5,197,0,0,0,0,0
43755,L,298.0,307.8,1792,26.4,119,0,0,0,0,0
43756,L,300.6,310.4,1519,40.1,133,0,0,0,0,0
43757,L,298.0,308.7,1568,32.9,33,0,0,0,0,0
43758,M,301.8,310.1,1559,35.8,9,0,0,0,0,0
43759,M,300.7,309.7,1684,27.8,76,0,0,0,0,0
43760,L,303.5,312.1,1372,54.1,109,0,0,0,0,0
43761,L,302.6,310.2,1426,53.9,16,0,0,0,0,0
43762,L,299.2,308.6,1734,32.4,161,0,0,0,0,0
43763,H,300.9,312.3,1448,42.8,38,0,0,0,0,0
43764,M,298.8,308.4,1498,39.5,14,0,0,0,0,0
43765,H,302.3,310.2,1431,43.5,43,0,0,0,0,0
43766,L,301.3,310.4,1433,42.8,104,0,0,0,0,0
43767,M,301.4,310.8,1450,40.0,28,0,0,0,0,0
43768,L,302.2,310.8,1356,48.1,62,0,0,0,0,0
43769,M,299.0,310.3,1494,46.6,9,0,0,0,0,0
43770,M,299.8,310.5,1412,53.9,159,0,0,0,0,0
43771,L,303.5,311.6,1336,57.4,155,0,0,0,0,0
43772,L,301.8,310.9,1578,32.1,194,0,0,0,0,0
43773,L,300.5,311.9,1341,51.2,56,0,0,0,0,0
43774,L,299.5,310.9,1534,40.9,96,0,0,0,0,0
43775,M,300.9,310.1,1600,36.0,198,0,0,0,0,0
43776,L,300.4,311.6,1559,35.1,149,0,0,0,0,0
43777,M,297.3,308.0,1393,42.5,150,0,0,0,0,0
43778,L,297.0,307.6,1504,41.1,146,0,0,0,0,0
43779,M,298.5,309.6,1423,47.7,2,0,0,0,0,0
43780,L,300.7,310.8,1379,48.2,165,0,0,0,0,0
43781,L,299.1,308.7,1473,50.8,181,0,0,0,0,0
43782,L,298.9,310.6,1461,48.4,173,0,0,0,0,0
43783,L,297.4,308.4,1447,41.5,213,0,0,0,0,0
43784,L,302.3,311.7,1608,32.7,0,0,0,0,0,0
43785,M,303.4,312.8,1590,34.8,113,0,0,0,0,0
43786,L,298.0,308.7,1626,49.3,210,0,0,0,0,0
43787,L,297.3,308.8,1587,35.8,148,0,0,0,0,0
43788,L,300.6,311.7,1602,38.2,16,0,0,0,0,0
43789,L,300.0,309.2,1444,43.6,101,0,0,0,0,0
43790,L,300.6,309.4,1525,42.5,244,0,0,0,0,0
43791,M,300.9,310.8,1658,31.0,5,0,0,0,0,0
43792,L,300.4,311.4,1559,42.5,3,0,0,0,0,0
43793,L,299.3,310.5,1818,24.6,102,0,0,0,0,0
43794,L,298.2,307.6,1459,44.5,82,0,0,0,0,0
43795,L,297.0,308.1,1459,47.6,122,0,0,0,0,0
43796,L,298.9,310.2,1447,44.2,160,0,0,0,0,0
43797,L,299.4,310.7,1397,45.4,83,0,0,0,0,0
43798,M,300.1,311.3,1389,50.0,55,0,0,0,0,0
43799,L,297.9,309.1,1380,49.7,29,0,0,0,0,0
43800,L,298.6,308.5,1567,36.7,7,0,0,0,0,0
43801,L,297.2,308.6,1456,37.1,52,0,0,0,0,0
43802,L,299.1,310.6,1439,44.8,127,0,0,0,0,0
43803,L,300.2,311.8,1490,36.1,179,0,0,0,0,0
43804,L,301.8,310.5,1639,33.1,192,0,0,0,0,0
43805,L,302.2,311.3,1382,46.4,7,0,0,0,0,0
43806,L,300.6,310.7,1750,34.2,94,0,0,0,0,0
43807,L,300.4,310.6,1483,43.0,107,0,0,0,0,0
43808,L,298.5,308.3,1488,42.2,148,0,0,0,0,0
43809,M,301.4,310.1,1731,33.4,112,0,0,0,0,0
43810,M,301.5,310.7,1457,49.5,152,0,0,0,0,0
43811,L,300.6,312.0,1653,42.2,3,0,0,0,0,0
43812,L,298.7,309.9,1465,43.1,72,0,0,0,0,0
43813,L,300.8,310.9,1546,42.0,140,0,0,0,0,0
43814,L,300.7,311.1,1398,60.3,161,0,0,0,0,0
43815,L,298.9,310.6,1568,39.2,119,0,0,0,0,0
43816,L,300.4,309.6,1476,34.5,154,0,0,0,0,0
43817,M,302.3,311.0,1633,32.9,73,0,0,0,0,0
43818,L,298.8,309.9,1450,43.4,48,0,0,0,0,0
43819,L,300.5,311.6,1534,35.9,89,0,0,0,0,0
43820,L,298.4,309.3,1549,41.2,139,0,0,0,0,0
43821,L,297.2,308.0,1364,59.3,190,0,0,0,0,0
43822,M,301.5,310.6,1577,39.1,67,0,0,0,0,0
43823,L,297.3,308.0,1462,40.8,165,0,0,0,0,0
43824,M,297.4,308.6,1901,38.8,81,0,0,0,0,0
43825,L,303.0,311.2,1664,29.9,182,0,0,0,0,0
43826,L,297.4,308.2,1335,50.4,70,0,0,0,0,0
43827,M,299.0,309.9,1463,35.2,74,0,0,0,0,0
43828,L,299.0,308.5,1606,33.3,159,0,0,0,0,0
43829,L,298.0,308.6,1393,46.7,68,0,0,0,0,0
43830,L,300.8,311.8,1725,27.0,178,0,0,0,0,0
43831,M,302.6,310.2,1442,39.0,97,0,0,0,0,0
43832,L,299.0,308.7,1566,31.8,96,0,0,0,0,0
43833,M,298.8,309.5,1500,38.8,116,0,0,0,0,0
43834,L,298.3,309.0,1446,45.4,98,0,0,0,0,0
43835,L,302.2,311.3,1479,40.4,35,0,0,0,0,0
43836,L,298.1,308.1,1484,37.2,59,0,0,0,0,0
43837,M,298.7,309.8,1473,41.2,80,0,0,0,0,0
43838,M,300.8,310.3,1548,34.1,74,0,0,0,0,0
43839,L,298.2,309.0,1693,31.8,181,0,0,0,0,0
43840,M,302.3,311.5,1538,32.5,2,0,0,0,0,0
43841,M,301.6,310.7,1509,44.4,94,0,0,0,0,0
43842,L,296.7,307.7,1540,36.5,100,0,0,0,0,0
43843,M,300.5,309.3,1685,31.5,14,0,0,0,0,0
43844,L,297.2,307.9,1347,54.0,197,0,0,0,0,0
43845,L,298.2,308.5,1483,45.1,44,0,0,0,0,0
43846,L,299.1,310.6,1380,43.4,170,0,0,0,0,0
43847,L,299.9,309.3,1712,26.0,86,0,0,0,0,0
43848,M,299.8,309.2,1574,33.4,68,0,0,0,0,0
43849,L,302.3,311.3,1602,32.8,120,0,0,0,0,0
43850,M,301.7,310.5,1593,32.4,26,0,0,0,0,0
43851,L,299.9,309.0,1553,44.0,88,0,0,0,0,0
43852,M,300.9,310.8,1481,40.3,35,0,0,0,0,0
43853,M,297.4,308.4,1495,37.8,215,0,0,0,0,0
43854,M,298.1,308.7,1497,42.8,65,0,0,0,0,0
43855,L,298.1,309.0,1537,38.1,97,0,0,0,0,0
43856,L,299.7,310.6,1354,52.5,125,0,0,0,0,0
43857,L,302.4,312.0,1543,39.9,10,0,0,0,0,0
43858,L,298.0,309.9,1568,36.0,171,0,0,0,0,0
43859,L,299.0,310.1,1431,48.0,106,0,0,0,0,0
43860,L,300.3,311.8,1601,32.7,12,0,0,0,0,0
43861,L,298.0,309.2,1654,31.6,92,0,0,0,0,0
43862,L,297.6,308.6,1592,35.9,140,0,0,0,0,0
43863,H,298.9,310.1,1558,37.2,177,0,0,0,0,0
43864,L,296.7,308.2,1453,37.5,171,0,0,0,0,0
43865,H,298.8,308.8,1445,39.0,4,0,0,0,0,0
43866,L,299.1,310.1,1291,56.9,9,0,0,0,0,0
43867,L,300.2,309.5,1551,38.2,49,0,0,0,0,0
43868,M,301.1,311.2,1381,42.1,31,0,0,0,0,0
43869,L,300.2,311.4,1891,25.3,86,0,0,0,0,0
43870,L,298.2,307.7,1335,46.9,117,0,0,0,0,0
43871,L,300.4,310.4,1520,37.7,46,0,0,0,0,0
43872,L,297.0,307.8,1418,50.3,166,0,0,0,0,0
43873,L,299.0,308.7,1372,53.8,15,0,0,0,0,0
43874,M,300.8,310.9,1597,31.7,93,0,0,0,0,0
43875,L,300.0,311.4,1927,24.6,87,0,0,0,0,0
43876,L,297.6,308.6,1438,51.7,107,0,0,0,0,0
43877,M,298.9,309.3,1373,46.0,127,0,0,0,0,0
43878,L,298.1,307.7,1515,36.8,80,0,0,0,0,0
43879,L,300.2,309.3,1510,51.1,123,0,0,0,0,0
43880,M,300.2,309.4,1508,37.3,13,0,0,0,0,0
43881,M,299.9,311.3,1447,50.0,15,0,0,0,0,0
43882,L,304.2,313.4,1432,46.9,90,0,0,0,0,0
43883,L,301.6,310.9,1385,39.6,195,0,0,0,0,0
43884,L,300.7,311.8,1446,51.7,15,0,0,0,0,0
43885,L,300.3,311.9,1483,46.1,137,0,0,0,0,0
43886,L,302.3,310.9,1527,36.7,18,0,0,0,0,0
43887,L,301.8,310.9,1383,52.2,12,0,0,0,0,0
43888,M,298.9,309.6,1774,26.1,180,0,0,0,0,0
43889,L,298.5,309.2,1604,35.6,23,0,0,0,0,0
43890,L,298.0,309.1,1488,40.4,20,0,0,0,0,0
43891,L,300.2,311.6,1448,43.5,168,0,0,0,0,0
43892,L,299.6,309.5,1364,54.0,18,0,0,0,1,0
43893,L,300.6,309.5,1436,43.4,233,0,0,0,0,0
43894,L,298.8,310.4,1527,38.3,32,0,0,0,0,0
43895,H,299.1,310.6,1694,28.0,168,0,0,0,0,0
43896,L,299.3,308.8,1432,47.3,148,0,0,0,0,0
43897,L,298.4,310.0,1465,43.4,126,0,0,0,0,0
43898,L,300.6,310.3,1490,41.0,213,0,0,0,0,0
43899,L,297.4,309.0,1833,22.6,17,0,0,0,0,0
43900,L,301.5,310.8,1382,38.6,165,0,0,0,0,0
43901,M,297.7,307.4,1472,39.1,33,0,0,0,0,0
43902,L,300.6,310.2,1356,50.2,21,0,0,0,0,0
43903,L,298.8,310.0,1389,54.9,83,0,0,0,0,0
43904,L,297.9,307.5,1412,48.1,153,0,0,0,0,0
43905,M,300.2,310.3,1488,44.3,50,0,0,0,0,0
43906,L,301.5,310.8,1413,44.6,171,0,0,0,0,0
43907,L,300.5,311.9,1403,45.1,56,0,0,0,0,0
43908,L,300.2,310.2,1382,52.9,24,0,0,0,0,0
43909,L,301.4,310.4,1623,33.1,195,0,0,0,0,0
43910,L,300.9,310.5,1615,31.1,108,0,0,0,0,0
43911,L,298.5,309.6,1477,39.0,101,0,0,0,0,0
43912,L,297.6,308.5,1678,29.6,98,0,0,0,0,0
43913,L,301.7,311.1,1336,63.8,159,0,0,0,0,0
43914,L,300.3,311.5,1609,32.6,177,0,0,0,0,0
43915,M,298.1,309.1,1497,37.8,50,0,0,0,0,0
43916,M,301.8,310.3,1666,32.7,137,0,0,0,0,0
43917,M,297.0,307.9,1685,28.4,166,0,0,0,0,0
43918,L,300.6,310.6,1438,45.5,79,0,0,0,0,0
43919,L,297.5,309.1,1436,43.7,211,0,0,0,0,0
43920,M,301.8,311.2,1544,36.1,145,0,0,0,0,0
43921,L,299.0,308.6,1442,43.5,202,0,0,0,0,0
43922,L,300.6,309.8,1468,44.1,137,0,0,0,0,0
43923,H,302.2,310.1,1577,44.0,12,0,0,0,0,0
43924,L,298.1,307.6,1427,50.9,17,0,0,0,0,0
43925,L,298.0,307.6,1493,47.7,0,0,0,0,0,0
43926,L,297.3,308.1,1408,47.2,141,0,0,0,0,0
43927,M,300.6,310.9,1362,51.6,106,0,0,0,0,0
43928,L,301.4,310.8,1668,27.5,136,0,0,0,0,0
43929,L,297.6,309.0,1596,45.4,64,0,0,0,0,0
43930,L,300.7,311.2,1732,27.1,55,0,0,0,0,0
43931,L,298.9,310.3,1533,41.1,138,0,0,0,0,0
43932,L,298.1,307.6,1520,42.6,202,0,0,0,0,0
43933,L,297.4,308.5,1477,40.7,24,0,0,0,0,0
43934,L,300.3,311.6,1497,41.3,173,0,0,0,0,0
43935,M,297.8,307.7,1453,45.3,163,0,0,0,0,0
43936,L,297.5,308.5,1330,59.5,132,0,0,0,0,0
43937,L,301.0,312.1,1470,40.6,59,0,0,0,0,0
43938,M,301.2,310.5,1621,30.0,17,0,0,0,0,0
43939,M,297.4,308.5,1553,40.1,56,0,0,0,0,0
43940,L,298.9,309.8,1727,27.7,74,0,0,0,0,0
43941,M,301.9,310.9,1417,43.9,156,0,0,0,0,0
43942,L,298.5,308.4,1562,28.3,15,0,0,0,0,0
43943,L,298.7,308.5,1418,42.3,190,0,0,0,0,0
43944,L,302.4,311.4,1609,33.0,122,0,0,0,0,0
43945,L,301.8,311.2,1567,36.9,214,0,0,0,0,0
43946,L,302.5,311.4,1492,38.1,194,0,0,0,0,0
43947,L,299.8,311.2,1664,33.2,173,0,0,0,0,0
43948,L,300.7,309.5,1767,25.6,47,0,0,0,0,0
43949,M,299.7,308.9,1465,49.0,158,0,0,0,0,0
43950,M,301.2,310.1,1558,38.6,34,0,0,0,0,0
43951,L,298.1,307.4,1335,48.1,71,0,0,0,0,0
43952,H,301.1,311.3,1566,32.7,85,0,0,0,0,0
43953,M,300.3,309.3,1540,57.9,202,0,0,0,0,0
43954,L,300.1,310.5,1470,39.8,107,0,0,0,0,0
43955,L,301.3,310.0,1606,32.7,186,0,0,0,0,0
43956,L,304.1,313.1,1408,49.3,28,0,0,0,0,0
43957,L,300.3,310.7,1538,34.6,123,0,0,0,0,0
43958,M,297.3,308.5,1389,49.0,143,0,0,0,0,0
43959,M,298.0,309.0,1553,42.5,56,0,0,0,0,0
43960,L,300.7,310.7,1450,30.5,38,0,0,0,0,0
43961,L,300.3,310.2,1487,52.3,2,0,0,0,0,0
43962,L,298.8,308.3,1634,27.9,176,0,0,0,0,0
43963,L,303.5,311.7,1487,45.5,171,0,0,0,0,0
43964,L,301.7,311.2,1521,46.6,130,0,0,0,0,0
43965,L,301.3,310.8,1450,53.0,59,0,0,0,0,0
43966,L,298.2,308.7,1408,39.0,9,0,0,0,0,0
43967,L,300.6,311.7,1530,38.9,0,0,0,0,0,0
43968,L,300.7,311.0,1441,52.1,107,0,0,0,0,0
43969,L,298.2,308.8,1452,48.2,171,0,0,0,0,0
43970,M,297.2,308.6,1469,44.3,82,0,0,0,0,0
43971,L,299.4,309.0,1412,46.6,76,0,0,0,0,0
43972,L,301.1,311.7,1487,43.6,7,0,0,0,0,0
43973,L,298.9,308.4,1375,46.5,28,0,0,0,0,0
43974,L,299.1,310.0,1341,56.3,203,0,0,0,0,0
43975,L,300.0,309.3,1430,39.2,14,0,0,0,0,0
43976,L,303.5,312.4,1466,46.2,102,0,0,0,0,0
43977,L,302.0,311.2,1518,39.8,146,0,0,0,0,0
43978,L,302.9,312.3,1515,40.8,59,0,0,0,0,0
43979,M,299.8,309.2,1551,39.6,109,0,0,0,0,0
43980,L,296.9,308.0,1359,47.5,59,0,0,0,0,0
43981,M,301.2,310.1,1357,48.6,30,0,0,0,0,0
43982,L,300.8,310.5,1732,28.2,26,0,0,0,0,0
43983,M,298.7,309.8,1403,36.7,197,0,0,0,0,0
43984,L,299.2,310.3,1548,34.1,9,0,0,0,0,0
43985,M,295.7,306.2,1350,53.6,30,0,0,0,0,0
43986,L,295.6,306.0,1440,42.6,210,0,0,0,0,0
43987,H,298.6,309.9,1462,40.7,142,0,0,0,0,0
43988,L,302.5,312.2,1453,47.2,30,0,0,0,0,0
43989,L,298.0,308.3,1583,37.1,191,0,0,0,0,0
43990,L,297.3,308.5,1653,27.5,27,0,0,0,0,0
43991,M,297.2,307.9,1504,38.1,196,0,0,0,0,0
43992,M,298.5,309.3,1462,33.1,109,0,0,0,0,0
43993,L,300.6,309.6,1495,48.0,125,0,0,0,0,0
43994,L,303.8,312.9,1491,42.7,192,0,0,0,0,0
43995,M,297.3,308.5,1376,54.0,156,0,0,0,0,0
43996,L,298.2,308.2,1407,53.0,153,0,0,0,0,0
43997,L,302.9,312.2,1729,23.6,5,0,0,0,0,0
43998,M,297.6,309.0,1404,54.3,68,0,0,0,0,0
43999,L,300.2,311.5,1685,33.5,193,0,0,0,0,0
44000,L,301.4,311.0,1334,47.5,155,0,0,0,0,0
